X,Z
0,0
0.15937969,0.007031457
0.31875938,0.014062914
0.47813907,0.021094371
0.637518759,0.028125828
0.796898449,0.035157285
0.956278139,0.042188741
1.115657829,0.049220198
1.275037519,0.056251655
1.434417209,0.063283112
1.593796898,0.070314569
1.753176588,0.077346026
1.912556278,0.084377483
2.071935968,0.09140894
2.231315658,0.098440397
2.390695348,0.105471854
2.550075038,0.11250331
2.709454727,0.119534767
2.868834417,0.126566224
3.028214107,0.133597681
3.187593797,0.140629138
3.346973487,0.147660595
3.506353177,0.154692052
3.665732866,0.161723509
3.825112556,0.168754966
3.984492246,0.175786423
4.143871936,0.18281788
4.303251626,0.189849336
4.462631316,0.196880793
4.622011006,0.20391225
4.781390695,0.210943707
4.940770385,0.217975164
5.100150075,0.225006621
5.259529765,0.232038078
5.418909455,0.239069535
5.578289145,0.246100992
5.737668834,0.253132449
5.897048524,0.260163905
6.056428214,0.267195362
6.215807904,0.274226819
6.375187594,0.281258276
6.534567284,0.288289733
6.693946973,0.29532119
6.853326663,0.302352647
7.012706353,0.309384104
7.172086043,0.316415561
7.331465733,0.323447018
7.490845423,0.330478475
7.650225113,0.337509931
7.809604802,0.344541388
7.968984492,0.351572845
8.128364182,0.358604302
8.287743872,0.365635759
8.447123562,0.372667216
8.606503252,0.379698673
8.765882941,0.38673013
8.925262631,0.393761587
9.084642321,0.400793044
9.244022011,0.4078245
9.403401701,0.414855957
9.562781391,0.421887414
9.722161081,0.428918871
9.88154077,0.435950328
10.04092046,0.442981785
10.20030015,0.450013242
10.35967984,0.457044699
10.51905953,0.464076156
10.67843922,0.471107613
10.83781891,0.47813907
10.9971986,0.485170526
11.15657829,0.492201983
11.31595798,0.49923344
11.47533767,0.506264897
11.63471736,0.513296354
11.79409705,0.520327811
11.95347674,0.527359268
12.11285643,0.534390725
12.27223612,0.541422182
12.43161581,0.548453639
12.5909955,0.555485095
12.75037519,0.562516552
12.90975488,0.569548009
13.06913457,0.576579466
13.22851426,0.583610923
13.38789395,0.59064238
13.54727364,0.597673837
13.70665333,0.604705294
13.86603302,0.611736751
14.02541271,0.618768208
14.1847924,0.625799665
14.34417209,0.632831121
14.50355178,0.639862578
14.66293147,0.646894035
14.82231116,0.653925492
14.98169085,0.660956949
15.14107054,0.667988406
15.30045023,0.675019863
15.45982991,0.68205132
15.6192096,0.689082777
15.77858929,0.696114234
15.93796898,0.70314569
16.09734867,0.710177147
16.25672836,0.717208604
16.41610805,0.724240061
16.57548774,0.731271518
16.73486743,0.738302975
16.89424712,0.745334432
17.05362681,0.752365889
17.2130065,0.759397346
17.37238619,0.766428803
17.53176588,0.77346026
17.69114557,0.780491716
17.85052526,0.787523173
18.00990495,0.79455463
18.16928464,0.801586087
18.32866433,0.808617544
18.48804402,0.815649001
18.64742371,0.822680458
18.8068034,0.829711915
18.96618309,0.836743372
19.12556278,0.843774829
19.28494247,0.850806285
19.44432216,0.857837742
19.60370185,0.864869199
19.76308154,0.871900656
19.92246123,0.878932113
20.08184092,0.88596357
20.24122061,0.892995027
20.4006003,0.900026484
20.55997999,0.907057941
20.71935968,0.914089398
20.87873937,0.921120855
21.03811906,0.928152311
21.19749875,0.935183768
21.35687844,0.942215225
21.51625813,0.949246682
21.67563782,0.956278139
21.83501751,0.963309596
21.9943972,0.970341053
22.15377689,0.97737251
22.31315658,0.984403967
22.47253627,0.991435424
22.63191596,0.99846688
22.79129565,1.005498337
22.95067534,1.012529794
23.11005503,1.019561251
23.26943472,1.026592708
23.42881441,1.033624165
23.5881941,1.040655622
23.74757379,1.047687079
23.90695348,1.054718536
24.06633317,1.061749993
24.22571286,1.06878145
24.38509255,1.075812906
24.54447224,1.082844363
24.70385193,1.08987582
24.86323162,1.096907277
25.02261131,1.103938734
25.181991,1.110970191
25.34137069,1.118001648
25.50075038,1.125033105
25.66013007,1.132064562
25.81950975,1.139096019
25.97888944,1.146127476
26.13826913,1.153158932
26.29764882,1.160190389
26.45702851,1.167221846
26.6164082,1.174253303
26.77578789,1.18128476
26.93516758,1.188316217
27.09454727,1.195347674
27.25392696,1.202379131
27.41330665,1.209410588
27.57268634,1.216442045
27.73206603,1.223473501
27.89144572,1.230504958
28.05082541,1.237536415
28.2102051,1.244567872
28.36958479,1.251599329
28.52896448,1.258630786
28.68834417,1.265662243
28.84772386,1.2726937
29.00710355,1.279725157
29.16648324,1.286756614
29.32586293,1.293788071
29.48524262,1.300819527
29.64462231,1.307850984
29.804002,1.314882441
29.96338169,1.321913898
30.12276138,1.328945355
30.28214107,1.335976812
30.44152076,1.343008269
30.60090045,1.350039726
30.76028014,1.357071183
30.91965983,1.36410264
31.07903952,1.371134096
31.23841921,1.378165553
31.3977989,1.38519701
31.55717859,1.392228467
31.71655828,1.399259924
31.87593797,1.406291381
32.03531766,1.413322838
32.19469735,1.420354295
32.35407704,1.427385752
32.51345673,1.434417209
32.67283642,1.441448666
32.83221611,1.448480122
32.9915958,1.455511579
33.15097549,1.462543036
33.31035518,1.469574493
33.46973487,1.47660595
33.62911456,1.483637407
33.78849425,1.490668864
33.94787394,1.497700321
34.10725363,1.509463555
34.26663332,1.523526469
34.42601301,1.537589383
34.5853927,1.551652297
34.74477239,1.565715211
34.90415208,1.579778124
35.06353177,1.593841038
35.22291146,1.607903952
