KSmall,KMedium,KMedLar,KLarge,KVeryLarge,very_Large_wr,large_wr,medlar_wr,medium_wr,small_wr,KTotal,RMSE_Total_Young
0.00972373774142406,0.00597879128222647,0.00446349260315158,0.00448079276279046,0.00635318561040744,2.53170442684639e-05,4.45927263298541e-06,2.46277661583067e-06,6.68319548242385e-07,0,0.031,22.2818997285225
0.00332351666836903,0.00569417310795798,0.00825248606802144,0.0049653075075843,0.00876451664806726,3.8798524699499e-05,3.32621979004925e-06,3.17275193444886e-06,2.25720125861363e-06,0,0.031,21.5001034151626
0.00466983522532012,0.0122431615234077,0.0047318715445177,0.00505967271946388,0.00429545898729058,2.98043130931601e-05,3.99433272741564e-06,1.07182618592221e-06,2.50460011445567e-07,0,0.031,21.5043707711992
0.00655342228573493,0.00384185543349536,0.0110481231201338,0.00894501328051989,0.000611585880116068,2.28733912071524e-05,4.97054286310479e-06,3.66478983721027e-06,1.31939088485376e-06,0,0.031,1698.21881011321
0.0060781496120568,0.0108339405137766,0.000792948823232629,0.0109352243820951,0.00235973666883883,2.01509291310259e-05,2.91668006948952e-06,1.00116383925299e-06,3.5477558303092e-07,0,0.031,21.2224696805824
0.00161700679332571,0.0115816435052326,0.00371611002337875,0.0102876595364936,0.00379758014156933,1.03554660045588e-05,2.91462508084372e-06,1.41588257172096e-06,1.42099949305899e-07,0,0.031,22.9212703613142
0.0053798539614831,0.00563182567289237,0.0082018389169988,0.00489004396227248,0.00689643748635325,1.63250674936099e-05,4.75229836122083e-06,4.30734646295875e-06,2.6793077390329e-06,0,0.031,23.1445485760482
0.00743125938146268,0.00623738389544632,0.00514104444671517,0.00505954119738523,0.0071307710789906,7.72706521848234e-06,1.76702007447771e-06,8.60641533259459e-07,6.20966803820123e-07,0,0.031,19.7611372624841
0.00571191889999033,0.00829523204302664,0.0100668636903729,0.000752758048221308,0.00617322731838879,1.05523721737518e-05,3.20345738716112e-06,2.58788679268171e-06,1.86348069177065e-06,0,0.031,21.3541527465967
0.00773143620561375,0.00765842184896715,0.00544257122154535,0.000907689920019638,0.00925988080385412,3.62595984298898e-05,4.51348612833247e-06,4.37574583741903e-06,1.50127438561297e-06,0,0.031,22.4802809745403
0.00534262730911354,0.0080662733837344,0.0110732404074227,0.00154747705539593,0.00497038184433349,2.85139814613762e-05,3.89562856862442e-06,3.54051061861627e-06,2.90927067955841e-06,0,0.031,21.457747092129
0.012717264506934,0.0100790847828649,0.00401796081851208,0.00313344198445082,0.0010522479072382,2.63577271140393e-05,4.46826335408479e-06,3.56277341934767e-06,2.03461307608344e-06,0,0.031,22.6784771458064
0.00693174969130017,0.00317448933940867,0.00889506474834827,0.00870462569213952,0.00329407052880337,2.70191083672915e-05,4.02154944040417e-06,2.48804636372762e-06,1.99226311504912e-06,0,0.031,21.5285193026945
0.00563386317545635,0.00791615241888437,0.000607389303761128,0.00970738256720643,0.00713521253469173,3.88283113915554e-05,3.21626755948973e-06,2.47991784655763e-06,6.70298311933908e-07,0,0.031,20.4746227893063
0.009999449117799,0.00699701389331522,0.0124246524576806,0.00109641540438143,0.00048246912682372,4.54636451154634e-06,3.59069866280657e-06,3.03070708392934e-06,2.38294197201047e-06,0,0.031,48.5019459109913
0.00985073017159504,0.00400094518817687,0.00184969007272347,0.006911272228394,0.00838736233911062,5.15263569406715e-06,4.81977720523459e-06,3.72241582896232e-06,1.76605799898909e-07,0,0.031,23.4018468036657
0.00932263436906879,0.0145371865332444,0.00132756786316502,0.0046418866972003,0.00117072453732147,3.57521370036483e-05,4.67064143578455e-06,3.88373832842738e-06,2.16307436877962e-06,0,0.031,22.7555289363267
0.00732498790702472,0.0152981468314526,0.00159615143572318,0.000622697859292455,0.00615801596650708,2.30218453768179e-05,4.23882592631031e-06,4.19774248790437e-06,8.96201982641095e-07,0,0.031,22.1490053900643
0.00601610112888371,0.00642754102397726,0.00814112158648118,0.00194365868835563,0.00847157757230222,1.90282309843586e-05,4.71623535385074e-06,4.12994159960073e-06,1.96965893922286e-06,0,0.031,23.1333788646599
0.00282279456886871,0.00852932181977903,0.00615689323901294,0.00767454581100392,0.0058164445613354,1.00935121583681e-05,7.68193142426366e-07,6.80567598664914e-07,2.85305082952608e-07,0,0.031,20.2044677839817
0.00524286617990766,0.00561363090927441,0.00403380412188177,0.0051791918556612,0.010930506933275,1.42309109395906e-05,2.24718542573296e-06,6.73281859779476e-07,4.98497384988604e-07,0,0.031,20.7058273252404
0.00660463190768969,0.00405191442339143,0.00934677542787338,0.0100237538487535,0.000972924392292026,1.09977842948514e-05,2.65472011702551e-06,2.61027904637028e-06,3.73237312797564e-07,0,0.031,23.1020436923442
0.00581543340657869,0.00865393013385568,0.00497888496344516,0.00192309819120977,0.0096286533049107,2.18879089982576e-05,2.78112400108536e-06,1.98424777937059e-06,1.08963394838991e-06,0,0.031,20.7157384225548
0.00395001132537708,0.0086936701691316,0.0085100080647521,0.0083357968550672,0.00151051358567201,9.93478048927065e-06,2.83019657131e-06,2.42482740942924e-06,4.6387956168475e-07,0,0.031,21.8035659384067
0.00583771927089106,0.00642618038101307,0.00936315390136143,0.00757962646627743,0.00179331998045701,3.7902906126188e-05,2.51221241909737e-06,1.16297204722527e-06,2.31774352723864e-07,0,0.031,20.3991127721062
0.0131428149142514,0.000545099014143376,0.00165354657352495,0.0097219676311881,0.00593657186689219,2.50661263626672e-05,3.85659678979818e-06,1.8458213387115e-06,1.30931243611263e-06,0,0.031,21.3905420506528
0.0111281153998636,0.000994543006986766,0.00408212814665027,0.00800082226672867,0.00679439117977071,1.79187942360039e-05,4.02149427396756e-06,1.24067537130677e-06,2.76561626878637e-07,0,0.031,21.755565156244
0.00169040843990311,0.00796585504007103,0.00641811290021991,0.0104180981072032,0.00450752551260274,2.89931537488385e-05,3.91966465979269e-06,2.17136323594243e-06,1.48827695900274e-06,0,0.031,23.1709937965928
0.00132921324409267,0.00623865705272334,0.0133492734926988,0.00158800179396781,0.00849485441651738,1.10177154116726e-05,2.34736539822761e-06,2.29383685200861e-06,2.14193901050606e-06,0,0.031,24.2257617346649
