X,Z
0,0
0.106970324,0.011299682
0.213940649,0.022599364
0.320910973,0.033899046
0.427881297,0.045198729
0.534851622,0.056498411
0.641821946,0.067798093
0.748792271,0.079097775
0.855762595,0.090397457
0.962732919,0.101697139
1.069703244,0.112996822
1.176673568,0.124296504
1.283643892,0.135596186
1.390614217,0.146895868
1.497584541,0.15819555
1.604554865,0.169495232
1.71152519,0.180794914
1.818495514,0.192094597
1.925465839,0.203394279
2.032436163,0.214693961
2.139406487,0.225993643
2.246376812,0.237293325
2.353347136,0.248593007
2.46031746,0.259892689
2.567287785,0.271192372
2.674258109,0.282492054
2.781228433,0.293791736
2.888198758,0.305091418
2.995169082,0.3163911
3.102139406,0.327690782
3.209109731,0.338990465
3.316080055,0.350290147
3.42305038,0.361589829
3.530020704,0.372889511
3.636991028,0.384189193
3.743961353,0.395488875
3.850931677,0.406788557
3.957902001,0.41808824
4.064872326,0.429387922
4.17184265,0.440687604
4.278812974,0.451987286
4.385783299,0.463286968
4.492753623,0.47458665
4.599723948,0.485886332
4.706694272,0.497186015
4.813664596,0.508485697
4.920634921,0.519785379
5.027605245,0.531085061
5.134575569,0.542384743
5.241545894,0.553684425
5.348516218,0.564984108
5.455486542,0.57628379
5.562456867,0.587583472
5.669427191,0.598883154
5.776397516,0.610182836
5.88336784,0.621482518
5.990338164,0.6327822
6.097308489,0.644081883
6.204278813,0.655381565
6.311249137,0.666681247
6.418219462,0.677980929
6.525189786,0.689280611
6.63216011,0.700580293
6.739130435,0.711879976
6.846100759,0.723179658
6.953071084,0.73447934
7.060041408,0.745779022
7.167011732,0.757078704
7.273982057,0.768378386
7.380952381,0.779678068
7.487922705,0.790977751
7.59489303,0.802277433
7.701863354,0.813577115
7.808833678,0.824876797
7.915804003,0.836176479
8.022774327,0.847476161
8.129744651,0.858775843
8.236714976,0.870075526
8.3436853,0.881375208
8.450655625,0.89267489
8.557625949,0.903974572
8.664596273,0.915274254
8.771566598,0.926573936
8.878536922,0.937873619
8.985507246,0.949173301
9.092477571,0.960472983
9.199447895,0.971772665
9.306418219,0.983072347
9.413388544,0.994372029
9.520358868,1.005671711
9.627329193,1.016971394
9.734299517,1.028271076
9.841269841,1.039570758
9.948240166,1.05087044
10.05521049,1.062170122
10.16218081,1.073469804
10.26915114,1.084769486
10.37612146,1.096069169
10.48309179,1.107368851
10.59006211,1.118668533
10.69703244,1.129968215
10.80400276,1.141267897
10.91097308,1.152567579
11.01794341,1.163867262
11.12491373,1.175166944
11.23188406,1.186466626
11.33885438,1.197766308
11.44582471,1.20906599
11.55279503,1.220365672
11.65976536,1.231665354
11.76673568,1.242965037
11.873706,1.254264719
11.98067633,1.265564401
12.08764665,1.276864083
12.19461698,1.288163765
12.3015873,1.299463447
12.40855763,1.31076313
12.51552795,1.322062812
12.62249827,1.333362494
12.7294686,1.344662176
12.83643892,1.355961858
12.94340925,1.36726154
13.05037957,1.378561222
13.1573499,1.389860905
13.26432022,1.401160587
13.37129055,1.412460269
13.47826087,1.423759951
13.58523119,1.435059633
13.69220152,1.446359315
13.79917184,1.457658997
13.90614217,1.46895868
14.01311249,1.480258362
14.12008282,1.491558044
14.22705314,1.506441224
14.33402346,1.531910349
14.44099379,1.557379474
14.54796411,1.582848598
14.65493444,1.608317723
14.76190476,1.633786848
14.86887509,1.659255973
14.97584541,1.684725098
15.08281573,1.710194223
15.18978606,1.735663347
15.29675638,1.761132472
15.40372671,1.786601597
15.51069703,1.812070722
15.61766736,1.837539847
15.72463768,1.863008972
15.83160801,1.888478097
15.93857833,1.913947221
16.04554865,1.939416346
16.15251898,1.964885471
16.2594893,1.990354596
16.36645963,2.015823721
16.47342995,2.041292846
16.58040028,2.06676197
16.6873706,2.092231095
16.79434092,2.11770022
16.90131125,2.143169345
17.00828157,2.16863847
17.1152519,2.194107595
17.22222222,2.21957672
17.32919255,2.245045844
17.43616287,2.270514969
17.5431332,2.295984094
17.65010352,2.321453219
17.75707384,2.346922344
17.86404417,2.372391469
17.97101449,2.397860594
18.07798482,2.423329718
18.18495514,2.448798843
18.29192547,2.474267968
18.39889579,2.499737093
18.50586611,2.525206218
18.61283644,2.550675343
18.71980676,2.576144467
18.82677709,2.601613592
18.93374741,2.627082717
19.04071774,2.652551842
19.14768806,2.678020967
19.25465839,2.703490092
19.36162871,2.728959217
19.46859903,2.754428341
19.57556936,2.779897466
19.68253968,2.805366591
19.78951001,2.830835716
19.89648033,2.856304841
20.00345066,2.881773966
20.11042098,2.90724309
20.2173913,2.932712215
20.32436163,2.95818134
20.43133195,2.983650465
20.53830228,3.010840267
20.6452726,3.041114887
20.75224293,3.071389507
20.85921325,3.101664128
20.96618357,3.131938748
21.0731539,3.162213368
21.18012422,3.192487988
21.28709455,3.222762608
21.39406487,3.253037228
21.5010352,3.283311848
21.60800552,3.313586468
21.71497585,3.343861088
21.82194617,3.374135708
21.92891649,3.404410329
22.03588682,3.434684949
22.14285714,3.464959569
22.24982747,3.495234189
22.35679779,3.525508809
22.46376812,3.555783429
22.57073844,3.586058049
22.67770876,3.616332669
22.78467909,3.646607289
22.89164941,3.676881909
22.99861974,3.70715653
23.10559006,3.73743115
23.21256039,3.76770577
23.31953071,3.79798039
23.42650104,3.82825501
23.53347136,3.85852963
23.64044168,3.88880425
23.74741201,3.91907887
23.85438233,3.94935349
23.96135266,3.97962811
24.06832298,4.009902731
24.17529331,4.040177351
24.28226363,4.070451971
24.38923395,4.100726591
24.49620428,4.131001211
24.6031746,4.161275831
24.71014493,4.191550451
24.81711525,4.221825071
24.92408558,4.252099691
25.0310559,4.282374311
25.13802622,4.312648932
25.24499655,4.342923552
25.35196687,4.373198172
25.4589372,4.403472792
25.56590752,4.433747412
25.67287785,4.464022032
25.77984817,4.494296652
25.8868185,4.528310379
25.99378882,4.563192006
26.10075914,4.598073634
26.20772947,4.632955261
26.31469979,4.667836889
26.42167012,4.702718517
26.52864044,4.737600144
26.63561077,4.772481772
26.74258109,4.807363399
26.84955141,4.842245027
26.95652174,4.877126654
27.06349206,4.912008282
27.17046239,4.946889909
27.27743271,4.981771537
27.38440304,5.016653164
27.49137336,5.051534792
27.59834369,5.086416419
27.70531401,5.121298047
27.81228433,5.156179674
27.91925466,5.191061302
28.02622498,5.225942929
28.13319531,5.260824557
28.24016563,5.295706184
28.34713596,5.330587812
28.45410628,5.365469439
28.5610766,5.400351067
28.66804693,5.435232694
28.77501725,5.470114322
28.88198758,5.504995949
28.9889579,5.539877577
29.09592823,5.574759204
29.20289855,5.609640832
29.30986888,5.644522459
29.4168392,5.679404087
29.52380952,5.714285714
29.63077985,5.749167342
29.73775017,5.784048969
29.8447205,5.818930597
29.95169082,5.853812224
30.05866115,5.888693852
30.16563147,5.923575479
30.27260179,5.958457107
30.37957212,5.993338734
30.48654244,6.033285555
30.59351277,6.074427987
30.70048309,6.11557042
30.80745342,6.156712852
30.91442374,6.197855285
31.02139406,6.238997717
31.12836439,6.28014015
31.23533471,6.321282582
31.34230504,6.362425015
31.44927536,6.403567447
31.55624569,6.444709879
31.66321601,6.485852312
31.77018634,6.526994744
31.87715666,6.568137177
31.98412698,6.609279609
32.09109731,6.650422042
32.19806763,6.691564474
32.30503796,6.732706907
32.41200828,6.773849339
32.51897861,6.814991772
32.62594893,6.856134204
32.73291925,6.897276636
32.83988958,6.938419069
32.9468599,6.979561501
33.05383023,7.020703934
33.16080055,7.061846366
33.26777088,7.102988799
33.3747412,7.144131231
33.48171153,7.185273664
33.58868185,7.226416096
33.69565217,7.267558528
33.8026225,7.308700961
33.90959282,7.349843393
34.01656315,7.390985826
34.12353347,7.432128258
34.2305038,7.473270691
34.33747412,7.512491373
34.44444444,7.548148148
34.55141477,7.583804923
34.65838509,7.619461698
34.76535542,7.655118473
34.87232574,7.690775247
34.97929607,7.726432022
35.08626639,7.762088797
35.19323671,7.797745572
35.30020704,7.833402346
35.40717736,7.869059121
35.51414769,7.904715896
35.62111801,7.940372671
35.72808834,7.976029446
35.83505866,8.01168622
35.94202899,8.047342995
36.04899931,8.08299977
36.15596963,8.118656545
36.26293996,8.15431332
36.36991028,8.189970094
36.47688061,8.225626869
36.58385093,8.261283644
36.69082126,8.296940419
36.79779158,8.332597193
36.9047619,8.368253968
37.01173223,8.403910743
37.11870255,8.439567518
37.22567288,8.475224293
37.3326432,8.510881067
37.43961353,8.546537842
37.54658385,8.582194617
37.65355418,8.617851392
37.7605245,8.653508167
37.86749482,8.689164941
37.97446515,8.724821716
38.08143547,8.760478491
38.1884058,8.796135266
38.29537612,8.83179204
38.40234645,8.867448815
38.50931677,8.90310559
38.61628709,8.938762365
38.72325742,8.97441914
38.83022774,9.010795623
38.93719807,9.04899931
39.04416839,9.087202997
39.15113872,9.125406684
39.25810904,9.163610372
39.36507937,9.201814059
39.47204969,9.240017746
39.57902001,9.278221434
39.68599034,9.316425121
39.79296066,9.354628808
39.89993099,9.392832495
40.00690131,9.431036183
40.11387164,9.46923987
40.22084196,9.507443557
40.32781228,9.545647244
40.43478261,9.583850932
40.54175293,9.622054619
40.64872326,9.660258306
40.75569358,9.698461993
40.86266391,9.736665681
40.96963423,9.774869368
41.07660455,9.813073055
41.18357488,9.851276743
41.2905452,9.88948043
41.39751553,9.927684117
41.50448585,9.965887804
41.61145618,10.00409149
41.7184265,10.04229518
41.82539683,10.08049887
41.93236715,10.11870255
42.03933747,10.15690624
42.1463078,10.19510993
42.25327812,10.23331362
42.36024845,10.2715173
42.46721877,10.30972099
42.5741891,10.34792468
42.68115942,10.38612836
42.78812974,10.42433205
42.89510007,10.46253574
